V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
142.274,75.7146,57.9317,64.1974,96.8941,55.2404,30.6671,22.6444,15.5985,11.0376,6.89211,6.92281,5.661,5.50096,5.51496,5.30849,5.26199,5.36949,5.38168,5.41094
327.506,119.688,63.6946,48.7339,54.0015,81.4871,46.4194,25.696,18.7855,12.5437,8.25638,4.69495,4.44325,3.5512,3.42667,3.42854,3.29834,3.26895,3.33573,6.70478
180.271,275.514,100.688,53.5828,40.9966,45.4253,68.5315,39.0096,21.5352,15.5918,10.0845,6.10689,3.04771,2.61055,2.00006,1.90427,1.89804,1.82403,1.80777,5.55253
280.595,151.653,231.777,84.7034,45.0763,34.4876,38.2107,57.6336,32.7783,18.0394,12.9201,8.07423,4.50562,2.01751,1.61123,1.20164,1.13474,1.12841,1.08441,4.37582
274.373,236.051,127.578,194.982,71.2568,37.9204,29.0123,32.143,48.4746,27.5543,15.1339,10.7585,6.54319,3.32594,1.14165,0.565739,0.277966,0.217073,0.215862,1.04452
360.874,230.816,198.577,107.324,164.021,59.9335,31.8786,24.3472,26.8233,39.9029,22.2612,12.0754,8.54271,5.18786,2.63591,0.90469,0.4483,0.220263,0.17201,0.998741
653.349,303.472,193.962,166.537,89.5595,135.553,48.9358,25.7976,19.617,21.5752,32.0762,17.891,9.70415,6.86502,4.16899,2.11823,0.727011,0.360255,0.177004,0.940818
666.766,549.448,254.959,162.374,138.082,73.2621,109.974,39.5898,20.8547,15.8553,17.4372,25.9239,14.4594,7.84285,5.54827,3.36935,1.71194,0.587566,0.291156,0.903417
615.804,560.828,462.001,214.177,136.037,114.919,60.2332,89.1828,31.8167,16.6926,12.672,13.9292,20.705,11.5479,6.26349,4.43096,2.69083,1.36718,0.469241,0.954007
1010.65,518.015,471.728,388.518,180.016,114.193,96.1798,50.0885,73.2951,25.7265,13.2893,9.98421,10.9156,16.186,9.01811,4.88927,3.4582,2.09994,1.06696,1.11071
874.832,849.644,435.077,395.303,323.853,148.297,91.8932,74.5242,37.1248,52.3942,17.9954,9.19669,6.8765,7.50273,11.1158,6.19104,3.35606,2.37361,1.44134,1.4947
835.076,735.739,713.778,363.776,325.618,261.086,118.199,73.0109,59.1693,29.4713,41.5915,14.285,7.30046,5.45866,5.95577,8.82385,4.91453,2.66408,1.8842,2.33066
1414.25,702.468,618.779,599.749,304.451,268.937,210.749,93.9603,57.7524,46.748,23.2783,32.8497,11.2824,5.76595,4.31128,4.7039,6.96912,3.88152,2.10411,3.32893
2165.87,1189.43,590.374,518.636,498.062,246.809,210.586,161.27,71.2856,43.7066,35.3551,17.6021,24.8385,8.53084,4.35971,3.25982,3.55668,5.26944,2.93487,4.10799
751.508,1821.82,999.984,495.037,429.354,393.24,179.673,146.336,110.679,48.7983,29.9045,24.188,12.0422,16.9928,5.8362,2.98261,2.23014,2.43323,3.60498,4.81823
643.514,632.102,1531.6,839.057,412.354,349.359,304.761,132.802,105.819,79.5004,34.9896,21.4326,17.3336,8.62944,12.177,4.18219,2.13732,1.5981,1.74364,6.03603
1442.41,541.303,531.522,1285.99,700.346,338.212,279.338,240.1,104.146,82.8926,62.2603,27.4003,16.7836,13.5737,6.75759,9.53559,3.27501,1.6737,1.25145,6.09214
711.898,1213.34,455.268,446.808,1079.18,584.564,278.07,222.518,183.995,77.8102,61.2786,45.862,20.1611,12.3452,9.98309,4.96986,7.01287,2.40857,1.23091,5.40077
366.867,598.863,1020.6,382.835,375.36,903.816,485.04,225.409,173.521,138.559,57.5591,45.0332,33.6324,14.7753,9.0455,7.31434,3.64122,5.13802,1.76466,4.85874
542.332,308.626,503.79,858.545,321.998,315.468,756.753,399.582,177.593,130.322,102.087,42.2137,32.9959,24.6378,10.8234,6.6261,5.35797,2.6673,3.76375,4.85183
286.298,456.236,259.629,423.788,722.052,270.539,263.901,622.566,315.533,134.452,96.9176,75.562,31.2117,24.3905,18.2113,8.00015,4.89768,3.96034,1.97153,6.3682
278.206,240.848,383.808,218.411,356.502,607.363,227.504,221.699,521.148,261.075,107.978,74.4248,56.1613,22.8886,17.8116,13.2833,5.83339,3.57088,2.88746,6.08046
383.692,234.041,202.614,322.877,183.736,299.888,510.822,191.218,185.904,433.509,212.197,84.0533,55.6729,41.2242,16.6971,12.9704,9.66819,4.24524,2.59869,6.52638
219.987,322.781,196.887,170.449,271.62,154.565,252.266,429.63,160.721,155.873,360.215,171.012,62.5531,36.8798,25.2259,9.91161,7.63075,5.6742,2.4915,5.35545
336.756,185.064,271.539,165.63,143.384,228.462,129.942,211.687,358.233,131.845,125.052,285.019,134.647,49.1832,28.9867,19.8251,7.78938,5.99684,4.45924,6.16676
314.047,283.295,155.683,228.422,139.315,120.561,191.883,108.765,175.594,292.155,105.604,99.1116,224.952,106.123,38.747,22.8329,15.6157,6.13541,4.72349,8.36971
666.997,264.19,238.316,130.957,192.105,117.092,101.136,160.081,89.5753,141.772,231.929,83.1218,77.7626,176.309,83.1469,30.355,17.8871,12.2331,4.80636,10.257
1037.49,561.098,222.232,200.428,110.068,161.145,97.721,83.6517,131.29,73.1396,115.57,188.966,67.7136,63.3448,143.618,67.7296,24.7265,14.5704,9.96477,12.2702
1229.31,872.751,471.954,186.857,168.319,92.0865,133.574,79.8736,67.6368,105.644,58.7576,92.7991,151.712,54.3619,50.854,115.298,54.3739,19.8506,11.6972,17.8504
923.733,1034.12,734.102,396.834,156.916,140.781,76.2837,109.24,64.7792,54.6783,85.3195,47.4403,74.9194,122.479,43.8868,41.0547,93.0807,43.8964,16.0255,23.854
746.552,777.07,869.872,617.363,333.466,131.519,117.118,62.4799,87.8726,51.5479,43.3295,67.5218,37.5296,59.2613,96.878,34.713,32.4728,73.6236,34.7205,31.5433
