V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
892.496,628.007,653.592,731.29,518.108,278.317,108.395,95.0566,50.2554,70.4501,41.288,34.6961,54.0644,30.0492,47.449,77.5676,27.7938,26.0001,58.9484,53.0556
278.217,750.796,528.268,549.676,614.584,434.401,231.762,88.9945,76.8059,40.2309,56.2009,32.9013,27.6396,43.0648,23.9349,37.7941,61.7841,22.1382,20.7096,89.2132
110.018,234.042,631.533,444.235,461.841,515.02,361.458,190.195,71.9047,61.4653,32.0702,44.7418,26.182,21.9921,34.2642,19.0434,30.0701,49.1572,17.6138,87.4577
77.902,92.5511,196.875,531.169,373.47,387.729,430.567,298.867,153.93,56.7908,47.799,24.7772,34.4888,20.1673,16.936,26.3848,14.6638,23.1545,37.8518,80.9068
53.3355,65.5336,77.8528,165.582,446.506,313.435,323.857,355.324,241.333,121.517,44.2378,37.0317,19.16,26.6537,15.5828,13.0853,20.3852,11.3294,17.8894,91.754
100.487,44.8673,55.1257,65.4776,139.193,374.8,262.015,267.9,287.934,190.614,94.2174,33.9987,28.3651,14.6588,20.384,11.9157,10.0055,15.5871,8.66278,83.8363
120.679,84.5334,37.7425,46.3661,55.0519,116.891,313.633,217.147,217.464,227.184,147.153,71.9779,25.8724,21.557,11.1357,15.4828,9.05024,7.59928,11.8386,70.254
158.777,101.515,71.1029,31.7378,38.9627,46.1779,97.5966,259.03,175.542,170.534,173.262,110.337,53.5438,19.1841,15.9644,8.24281,11.4586,6.69753,5.62375,60.7517
80.5199,133.568,85.3926,59.7985,26.6744,32.6764,38.4764,80.0185,206.969,137.22,131.893,133.495,84.9104,41.1901,14.7563,12.2793,6.34007,8.81351,5.15147,51.0534
435.205,67.7371,112.363,71.8326,50.2959,22.4254,27.4302,32.1473,66.0079,166.668,107.781,102.165,102.863,65.3161,31.6687,11.3435,9.43898,4.87348,6.77476,43.2035
713.113,366.112,56.9817,94.5123,60.4008,42.2434,18.765,22.7108,26.0541,52.2604,130.204,83.7794,79.2892,79.7936,50.6608,24.562,8.79789,7.32072,3.77979,38.7623
852.928,599.853,307.901,47.8894,79.2608,50.3333,34.67,15.043,17.8539,20.2889,40.5573,100.935,64.9248,61.4388,61.8277,39.2539,19.0315,6.81691,5.67235,32.9631
712.748,717.486,504.527,258.842,40.1905,66.1617,41.4508,27.9701,11.9463,14.0816,15.9662,31.8951,79.3627,51.0457,48.3042,48.6097,30.8619,14.9628,5.35954,30.3756
1076.34,599.572,603.484,424.168,217.255,33.5508,54.4934,33.5146,22.3431,9.49922,11.1818,12.6736,25.315,62.988,40.5133,38.3374,38.5798,24.494,11.8755,28.3617
2117.55,905.394,504.227,507.094,355.413,180.549,27.4344,43.8331,26.7294,17.7669,7.54704,8.88167,10.0659,20.1058,50.0263,32.1764,30.4482,30.6408,19.4536,31.9571
420.056,1781.23,761.417,423.716,425.058,295.816,148.164,22.1666,35.1005,21.3316,14.1638,6.01456,7.07751,8.02095,16.0211,39.8629,25.6394,24.2623,24.4157,40.966
440.236,353.362,1498.29,640.245,355.799,355.337,245.094,121.789,18.1604,28.7295,17.4556,11.5895,4.92134,5.79107,6.56302,13.109,32.6172,20.979,19.8522,53.4976
