Year,SSB_Prev,SSB_SD_Prev,SSB_Curr,SSB_SD_Curr
1975,47.9741,3.70407,48.4993,3.75508
1976,48.2716,3.87908,48.8972,3.92772
1977,53.3905,4.17795,54.1439,4.22345
1978,66.0487,4.64574,67.006,4.69171
1979,81.1659,5.32114,82.3962,5.36943
1980,93.036,5.83329,94.4856,5.87847
1981,99.089,6.0793,100.706,6.1207
1982,98.7732,6.0147,100.453,6.05313
1983,103.889,6.06047,105.69,6.09159
1984,117.52,6.67394,119.585,6.69604
1985,115.031,6.69058,116.998,6.69181
1986,121.94,6.61645,123.639,6.59907
1987,147.155,7.26944,148.617,7.21729
1988,155.048,7.40196,155.766,7.30543
1989,164.215,8.20128,163.769,8.03694
1990,179.209,9.19652,177.721,8.94878
1991,201.157,9.82116,199.031,9.50053
1992,218.422,10.1193,215.356,9.73256
1993,278.106,12.0457,272.954,11.5172
1994,323.399,12.9724,317.17,12.3532
1995,373.868,14.1967,366.632,13.5123
1996,456.984,17.1565,450.015,16.4032
1997,501.213,18.5019,493.62,17.7371
1998,493.398,18.0889,485.398,17.3079
1999,517.755,18.4725,509.759,17.6342
2000,541.496,19.0634,533.741,18.1521
2001,562.802,20.2901,549.379,18.9968
2002,568.853,20.3337,557.758,19.0695
2003,567.455,20.553,568.449,19.7438
2004,568.277,20.7524,551.987,19.2688
2005,491.878,18.6959,470.123,17.0751
2006,439.329,17.1344,431.805,16.1784
2007,414.982,16.5016,407.609,15.5512
2008,389.125,15.6166,388.716,14.819
2009,368.942,15.1822,354.036,13.8624
2010,388.98,15.7164,375.854,14.4332
2011,447.295,17.6932,429.022,16.0642
2012,483.656,19.4381,461.09,17.4317
2013,496.567,20.8083,469.144,18.4012
2014,502.464,21.7606,473.966,19.181
2015,520.204,23.1999,485.95,20.271
2016,471.196,21.9753,433.155,18.9368
2017,428.015,21.152,390.781,18.152
2018,378.74,19.7551,338.873,16.6603
2019,348.794,18.877,304.586,15.62
2020,314.38,17.6787,274.107,14.7048
2021,NA,NA,254.99,14.163
2022,NA,NA,250.336,13.8178
