V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
142.274,107.726,73.5035,80.0228,150.248,96.8919,41.2972,29.9879,23.7651,18.8418,8.90608,6.62612,4.41393,4.46367,4.38299,4.19251,4.14553,4.16994,4.23817,4.28814
327.506,122.456,92.72,63.2645,68.8746,129.311,83.3794,35.5253,25.7708,20.3658,16.0226,7.42301,5.27651,3.25127,3.01907,2.79808,2.60358,2.54621,2.56121,5.23693
180.271,281.887,105.399,79.8046,54.4518,59.2796,111.292,71.7521,30.5608,22.1477,17.454,13.6253,6.18154,4.17674,2.33601,1.91932,1.61941,1.436,1.40436,4.30106
280.595,155.16,242.622,90.7178,68.6883,46.8668,51.0213,95.7836,61.7464,26.2903,19.0345,14.9595,11.5893,5.15232,3.31908,1.70311,1.26563,0.994307,0.881695,3.50309
274.373,241.511,133.548,208.827,78.0815,59.1204,40.3383,43.9135,82.4363,53.1352,22.6147,16.3532,12.8045,9.80868,4.21729,2.47181,1.00455,0.488516,0.383788,1.69246
360.874,236.154,207.867,114.94,179.711,67.1741,50.8142,34.5772,37.3773,69.1691,43.7689,18.3759,13.2018,10.3115,7.89225,3.39235,1.98812,0.807949,0.39291,1.66992
653.349,310.524,203.112,178.568,98.4429,152.905,56.5197,42.2219,28.4737,30.6392,56.5906,35.7827,15.0188,10.7888,8.42644,6.44939,2.77215,1.62464,0.660235,1.68569
666.766,562.158,267.023,174.375,152.687,83.4865,128.188,46.9168,34.856,23.4511,25.2123,46.5522,29.432,12.3528,8.87354,6.93052,5.30444,2.28001,1.33622,1.92945
615.804,573.802,483.607,229.449,149.319,129.578,69.731,105.409,38.2521,28.3266,19.038,20.461,37.7755,23.8823,10.0235,7.20027,5.62364,4.30419,1.85007,2.64987
1010.65,529.998,493.796,416.047,197.217,128.015,110.348,58.5236,86.5501,30.7952,22.5536,15.0878,16.1879,29.8688,18.8797,7.9233,5.6915,4.44521,3.40225,3.55698
874.832,869.729,455.97,424.515,356.995,168.402,108.017,90.7138,45.972,64.3592,21.9348,15.6874,10.3834,11.0926,20.433,12.9071,5.41545,3.88969,3.03795,4.75608
835.076,752.773,747.902,391.272,361.989,300.037,138.779,87.7994,73.3074,37.0794,51.8796,17.6785,12.6427,8.36806,8.93954,16.4669,10.4019,4.36431,3.1347,6.28121
1414.25,718.735,647.844,643.442,336.209,309.687,253.428,114.595,71.152,58.9353,29.7377,41.5802,14.1665,10.1306,6.70526,7.16316,13.1948,8.3349,3.49708,7.54487
2165.87,1216.89,618.062,556.088,549.426,283.241,254.05,201.19,88.885,54.596,45.0399,22.695,31.7183,10.8049,7.72632,5.11382,5.46301,10.063,6.35663,8.42116
751.508,1863.24,1045.77,529.486,472.056,455.308,223.411,187.938,141.927,61.3015,37.3348,30.7107,15.4599,21.5998,7.35723,5.26082,3.48194,3.71969,6.85177,10.062
643.514,646.747,1602.98,898.623,453.07,398.4,370.693,171.927,138.508,102.688,44.0941,26.8098,22.0428,11.095,15.5008,5.27977,3.77531,2.49873,2.66935,12.1378
